 tracf=5	  fldr=7	    sx=2300	    gx=1025	offset=-1275	   cdp=17	

 tracf=7	  fldr=6	    sx=2250	    gx=1075	offset=-1175	   cdp=17	

 tracf=9	  fldr=5	    sx=2200	    gx=1125	offset=-1075	   cdp=17	

 tracf=11	  fldr=4	    sx=2150	    gx=1175	offset=-975	   cdp=17	

 tracf=13	  fldr=3	    sx=2100	    gx=1225	offset=-875	   cdp=17	

 tracf=15	  fldr=2	    sx=2050	    gx=1275	offset=-775	   cdp=17	

 tracf=17	  fldr=1	    sx=2000	    gx=1325	offset=-675	   cdp=17	

 tracf=2	  fldr=9	    sx=2400	    gx=975	offset=-1425	   cdp=18	

 tracf=4	  fldr=8	    sx=2350	    gx=1025	offset=-1325	   cdp=18	

 tracf=6	  fldr=7	    sx=2300	    gx=1075	offset=-1225	   cdp=18	

 tracf=8	  fldr=6	    sx=2250	    gx=1125	offset=-1125	   cdp=18	

 tracf=10	  fldr=5	    sx=2200	    gx=1175	offset=-1025	   cdp=18	

 tracf=12	  fldr=4	    sx=2150	    gx=1225	offset=-925	   cdp=18	

 tracf=14	  fldr=3	    sx=2100	    gx=1275	offset=-825	   cdp=18	

 tracf=16	  fldr=2	    sx=2050	    gx=1325	offset=-725	   cdp=18	

 tracf=18	  fldr=1	    sx=2000	    gx=1375	offset=-625	   cdp=18	

 tracf=1	  fldr=10	    sx=2450	    gx=975	offset=-1475	   cdp=19	

 tracf=3	  fldr=9	    sx=2400	    gx=1025	offset=-1375	   cdp=19	

 tracf=5	  fldr=8	    sx=2350	    gx=1075	offset=-1275	   cdp=19	

 tracf=7	  fldr=7	    sx=2300	    gx=1125	offset=-1175	   cdp=19	

 tracf=9	  fldr=6	    sx=2250	    gx=1175	offset=-1075	   cdp=19	

 tracf=11	  fldr=5	    sx=2200	    gx=1225	offset=-975	   cdp=19	

 tracf=13	  fldr=4	    sx=2150	    gx=1275	offset=-875	   cdp=19	

 tracf=15	  fldr=3	    sx=2100	    gx=1325	offset=-775	   cdp=19	

 tracf=17	  fldr=2	    sx=2050	    gx=1375	offset=-675	   cdp=19	

 tracf=19	  fldr=1	    sx=2000	    gx=1425	offset=-575	   cdp=19	

 tracf=2	  fldr=10	    sx=2450	    gx=1025	offset=-1425	   cdp=20	

 tracf=4	  fldr=9	    sx=2400	    gx=1075	offset=-1325	   cdp=20	

 tracf=6	  fldr=8	    sx=2350	    gx=1125	offset=-1225	   cdp=20	

 tracf=8	  fldr=7	    sx=2300	    gx=1175	offset=-1125	   cdp=20	

 tracf=10	  fldr=6	    sx=2250	    gx=1225	offset=-1025	   cdp=20	

 tracf=12	  fldr=5	    sx=2200	    gx=1275	offset=-925	   cdp=20	

 tracf=14	  fldr=4	    sx=2150	    gx=1325	offset=-825	   cdp=20	

 tracf=16	  fldr=3	    sx=2100	    gx=1375	offset=-725	   cdp=20	

 tracf=18	  fldr=2	    sx=2050	    gx=1425	offset=-625	   cdp=20	

 tracf=20	  fldr=1	    sx=2000	    gx=1475	offset=-525	   cdp=20	

 tracf=1	  fldr=11	    sx=2500	    gx=1025	offset=-1475	   cdp=21	

 tracf=3	  fldr=10	    sx=2450	    gx=1075	offset=-1375	   cdp=21	

 tracf=5	  fldr=9	    sx=2400	    gx=1125	offset=-1275	   cdp=21	

 tracf=7	  fldr=8	    sx=2350	    gx=1175	offset=-1175	   cdp=21	

 tracf=9	  fldr=7	    sx=2300	    gx=1225	offset=-1075	   cdp=21	

 tracf=11	  fldr=6	    sx=2250	    gx=1275	offset=-975	   cdp=21	

 tracf=13	  fldr=5	    sx=2200	    gx=1325	offset=-875	   cdp=21	

 tracf=15	  fldr=4	    sx=2150	    gx=1375	offset=-775	   cdp=21	

 tracf=17	  fldr=3	    sx=2100	    gx=1425	offset=-675	   cdp=21	

 tracf=19	  fldr=2	    sx=2050	    gx=1475	offset=-575	   cdp=21	

 tracf=21	  fldr=1	    sx=2000	    gx=1525	offset=-475	   cdp=21	

 tracf=2	  fldr=11	    sx=2500	    gx=1075	offset=-1425	   cdp=22	

 tracf=4	  fldr=10	    sx=2450	    gx=1125	offset=-1325	   cdp=22	

 tracf=6	  fldr=9	    sx=2400	    gx=1175	offset=-1225	   cdp=22	

 tracf=8	  fldr=8	    sx=2350	    gx=1225	offset=-1125	   cdp=22	

 tracf=10	  fldr=7	    sx=2300	    gx=1275	offset=-1025	   cdp=22	

 tracf=12	  fldr=6	    sx=2250	    gx=1325	offset=-925	   cdp=22	

 tracf=14	  fldr=5	    sx=2200	    gx=1375	offset=-825	   cdp=22	

 tracf=16	  fldr=4	    sx=2150	    gx=1425	offset=-725	   cdp=22	

 tracf=18	  fldr=3	    sx=2100	    gx=1475	offset=-625	   cdp=22	

 tracf=20	  fldr=2	    sx=2050	    gx=1525	offset=-525	   cdp=22	

 tracf=22	  fldr=1	    sx=2000	    gx=1575	offset=-425	   cdp=22	

 tracf=1	  fldr=12	    sx=2550	    gx=1075	offset=-1475	   cdp=23	

 tracf=3	  fldr=11	    sx=2500	    gx=1125	offset=-1375	   cdp=23	

 tracf=5	  fldr=10	    sx=2450	    gx=1175	offset=-1275	   cdp=23	

 tracf=7	  fldr=9	    sx=2400	    gx=1225	offset=-1175	   cdp=23	

 tracf=9	  fldr=8	    sx=2350	    gx=1275	offset=-1075	   cdp=23	

 tracf=11	  fldr=7	    sx=2300	    gx=1325	offset=-975	   cdp=23	

 tracf=13	  fldr=6	    sx=2250	    gx=1375	offset=-875	   cdp=23	

 tracf=15	  fldr=5	    sx=2200	    gx=1425	offset=-775	   cdp=23	

 tracf=17	  fldr=4	    sx=2150	    gx=1475	offset=-675	   cdp=23	

 tracf=19	  fldr=3	    sx=2100	    gx=1525	offset=-575	   cdp=23	

 tracf=21	  fldr=2	    sx=2050	    gx=1575	offset=-475	   cdp=23	

 tracf=23	  fldr=1	    sx=2000	    gx=1625	offset=-375	   cdp=23	

 tracf=2	  fldr=12	    sx=2550	    gx=1125	offset=-1425	   cdp=24	

 tracf=4	  fldr=11	    sx=2500	    gx=1175	offset=-1325	   cdp=24	

 tracf=6	  fldr=10	    sx=2450	    gx=1225	offset=-1225	   cdp=24	

 tracf=8	  fldr=9	    sx=2400	    gx=1275	offset=-1125	   cdp=24	

 tracf=10	  fldr=8	    sx=2350	    gx=1325	offset=-1025	   cdp=24	

 tracf=12	  fldr=7	    sx=2300	    gx=1375	offset=-925	   cdp=24	

 tracf=14	  fldr=6	    sx=2250	    gx=1425	offset=-825	   cdp=24	

 tracf=16	  fldr=5	    sx=2200	    gx=1475	offset=-725	   cdp=24	

 tracf=18	  fldr=4	    sx=2150	    gx=1525	offset=-625	   cdp=24	

 tracf=20	  fldr=3	    sx=2100	    gx=1575	offset=-525	   cdp=24	

 tracf=22	  fldr=2	    sx=2050	    gx=1625	offset=-425	   cdp=24	

 tracf=24	  fldr=1	    sx=2000	    gx=1675	offset=-325	   cdp=24	

