           5           4           3
          13          12           5
          10           8           6
          25          24           7
          17          15           8
          15          12           9
          41          40           9
          26          24          10
          61          60          11
          20          16          12
          37          35          12
          85          84          13
          50          48          14
          25          20          15
          39          36          15
         113         112          15
          34          30          16
          65          63          16
         145         144          17
          30          24          18
          82          80          18
         181         180          19
          29          21          20
          52          48          20
         101          99          20
          35          28          21
          75          72          21
         221         220          21
         122         120          22
         265         264          23
          40          32          24
          51          45          24
          74          70          24
         145         143          24
          65          60          25
         313         312          25
         170         168          26
          45          36          27
         123         120          27
         365         364          27
          53          45          28
         100          96          28
         197         195          28
         421         420          29
          50          40          30
          78          72          30
         226         224          30
         481         480          31
          68          60          32
         130         126          32
         257         255          32
          55          44          33
          65          56          33
         183         180          33
         290         288          34
          91          84          35
         125         120          35
          60          48          36
          85          77          36
         111         105          36
         164         160          36
         325         323          36
         362         360          38
          65          52          39
          89          80          39
         255         252          39
          58          42          40
          85          75          40
         104          96          40
         202         198          40
         401         399          40
          70          56          42
         150         144          42
         442         440          42
         125         117          44
         244         240          44
         485         483          44
          75          60          45
         117         108          45
         205         200          45
         339         336          45
          73          55          48
          80          64          48
         102          90          48
         148         140          48
         195         189          48
         290         286          48
         175         168          49
         130         120          50
          85          68          51
         149         140          51
         435         432          51
         173         165          52
         340         336          52
          90          72          54
         246         240          54
         143         132          55
         305         300          55
         106          90          56
         119         105          56
         200         192          56
         394         390          56
          95          76          57
         185         176          57
          87          63          60
         100          80          60
         109          91          60
         156         144          60
         185         175          60
         229         221          60
         303         297          60
         452         448          60
         105          84          63
         225         216          63
         287         280          63
         136         120          64
         260         252          64
          97          72          65
         169         156          65
         425         420          65
         110          88          66
         130         112          66
         366         360          66
         293         285          68
         115          92          69
         269         260          69
         182         168          70
         250         240          70
         120          96          72
         153         135          72
         170         154          72
         222         210          72
         328         320          72
         435         429          72
         125         100          75
         195         180          75
         317         308          75
         365         357          76
         275         264          77
         427         420          77
         130         104          78
         178         160          78
         116          84          80
         170         150          80
         208         192          80
         325         315          80
         404         396          80
         135         108          81
         369         360          81
         140         112          84
         159         135          84
         205         187          84
         259         245          84
         300         288          84
         445         437          84
         157         132          85
         221         204          85
         145         116          87
         425         416          87
         137         105          88
         187         165          88
         250         234          88
         488         480          88
         150         120          90
         234         216          90
         410         400          90
         325         312          91
         155         124          93
         485         476          93
         193         168          95
         247         228          95
         146         110          96
         160         128          96
         204         180          96
         265         247          96
         296         280          96
         390         378          96
         350         336          98
         165         132          99
         195         168          99
         451         440          99
         145         105         100
         260         240         100
         170         136         102
         298         280         102
         185         153         104
         221         195         104
         346         330         104
         175         140         105
         233         208         105
         273         252         105
         375         360         105
         180         144         108
         255         231         108
         333         315         108
         492         480         108
         286         264         110
         185         148         111
         212         180         112
         238         210         112
         400         384         112
         455         441         112
         190         152         114
         370         352         114
         277         252         115
         299         276         115
         195         156         117
         267         240         117
         169         120         119
         425         408         119
         174         126         120
         200         160         120
         218         182         120
         241         209         120
         255         225         120
         312         288         120
         370         350         120
         409         391         120
         458         442         120
         205         164         123
         325         300         125
         210         168         126
         450         432         126
         272         240         128
         215         172         129
         194         144         130
         338         312         130
         220         176         132
         260         224         132
         375         351         132
         407         385         132
         493         475         132
         205         156         133
         475         456         133
         225         180         135
         351         324         135
         377         352         135
         289         255         136
         305         273         136
         230         184         138
         203         147         140
         221         171         140
         265         225         140
         364         336         140
         500         480         140
         235         188         141
         219         165         144
         240         192         144
         306         270         144
         340         308         144
         444         420         144
         377         348         145
         433         408         145
         245         196         147
         250         200         150
         390         360         150
         323         285         152
         377         345         152
         255         204         153
         447         420         153
         403         372         155
         493         468         155
         260         208         156
         356         320         156
         481         455         156
         265         212         159
         232         168         160
         281         231         160
         340         300         160
         416         384         160
         289         240         161
         270         216         162
         275         220         165
         325         280         165
         429         396         165
         280         224         168
         318         270         168
         357         315         168
         410         374         168
         457         425         168
         314         264         170
         442         408         170
         285         228         171
         290         232         174
         337         288         175
         455         420         175
         274         210         176
         374         330         176
         500         468         176
         295         236         177
         261         189         180
         300         240         180
         327         273         180
         349         299         180
         425         385         180
         468         432         180
         305         244         183
         391         345         184
         481         444         185
         310         248         186
         315         252         189
         389         340         189
         386         336         190
         494         456         190
         292         220         192
         320         256         192
         408         360         192
         291         216         195
         325         260         195
         445         400         195
         371         315         196
         330         264         198
         390         336         198
         290         210         200
         425         375         200
         335         268         201
         445         396         203
         325         253         204
         340         272         204
         305         224         207
         345         276         207
         370         306         208
         442         390         208
         350         280         210
         466         416         210
         355         284         213
         360         288         216
         459         405         216
         365         292         219
         319         231         220
         370         296         222
         424         360         224
         476         420         224
         353         272         225
         375         300         225
         380         304         228
         397         325         228
         385         308         231
         455         392         231
         493         435         232
         390         312         234
         395         316         237
         338         240         238
         348         252         240
         365         275         240
         400         320         240
         436         364         240
         482         418         240
         405         324         243
         410         328         246
         415         332         249
         373         275         252
         420         336         252
         477         405         252
         425         340         255
         471         396         255
         430         344         258
         377         273         260
         388         288         260
         435         348         261
         461         380         261
         411         315         264
         440         352         264
         410         312         266
         445         356         267
         450         360         270
         455         364         273
         460         368         276
         465         372         279
         406         294         280
         442         342         280
         449         351         280
         470         376         282
         475         380         285
         438         330         288
         480         384         288
         485         388         291
         490         392         294
         425         304         297
         495         396         297
         435         315         300
         500         400         300
         481         360         319
         464         336         320
         485         360         325
         493         357         340
